Date,Value
2015-05-29,2.011
2015-05-28,1.92
2015-05-27,1.87
2015-05-26,1.918
2015-05-22,1.981
2015-05-21,1.998
2015-05-20,1.944
2015-05-19,1.916
2015-05-18,1.959
2015-05-15,1.97
2015-05-14,1.971
2015-05-13,1.943
2015-05-12,1.921
2015-05-11,1.88
2015-05-08,1.887
2015-05-07,1.889
2015-05-06,1.93
2015-05-05,1.968
2015-05-04,1.939
2015-05-01,1.947
2015-04-30,1.951
2015-04-29,1.909
2015-04-28,1.907
2015-04-27,1.906
2015-04-24,1.909
2015-04-23,1.906
2015-04-22,1.817
2015-04-21,1.787
2015-04-20,1.818
2015-04-17,1.822
2015-04-16,1.825
2015-04-15,1.807
2015-04-14,1.717
2015-04-13,1.715
2015-04-10,1.721
2015-04-09,1.67
2015-04-08,1.66
2015-04-07,1.775
2015-04-06,1.755
2015-04-02,1.61
2015-04-01,1.666
2015-03-31,1.615
2015-03-30,1.64
2015-03-27,1.634
2015-03-26,1.708
2015-03-25,1.661
2015-03-24,1.639
2015-03-23,1.629
2015-03-20,1.609
2015-03-19,1.569
2015-03-18,1.616
2015-03-17,1.541
2015-03-16,1.54
2015-03-13,1.563
2015-03-12,1.618
2015-03-11,1.642
2015-03-10,1.634
2015-03-09,1.686
2015-03-06,1.691
2015-03-05,1.703
2015-03-04,1.73
2015-03-03,1.763
2015-03-02,1.742
2015-02-27,1.82
2015-02-26,1.739
2015-02-25,1.751
2015-02-24,1.623
2015-02-23,1.656
2015-02-20,1.651
2015-02-19,1.623
2015-02-18,1.568
2015-02-17,1.574
2015-02-13,1.617
2015-02-12,1.593
2015-02-11,1.544
2015-02-10,1.557
2015-02-09,1.562
2015-02-06,1.543
2015-02-05,1.516
2015-02-04,1.483
2015-02-03,1.575
2015-02-02,1.54
2015-01-30,1.462
2015-01-29,1.378
2015-01-28,1.368
2015-01-27,1.355
2015-01-26,1.321
2015-01-23,1.367
2015-01-22,1.353
2015-01-21,1.345
2015-01-20,1.336
2015-01-16,1.382
2015-01-15,1.317
2015-01-14,1.361
2015-01-13,1.284
2015-01-12,1.283
2015-01-09,1.336
2015-01-08,1.37
2015-01-07,1.352
2015-01-06,1.389
2015-01-05,1.434
2015-01-02,1.492
2014-12-31,1.525
2014-12-30,1.516
2014-12-29,1.522
2014-12-26,1.571
2014-12-24,1.575
2014-12-23,1.631
2014-12-22,1.582
2014-12-19,1.64
2014-12-18,1.589
2014-12-17,1.606
2014-12-16,1.581
2014-12-15,1.618
2014-12-12,1.641
2014-12-11,1.674
2014-12-10,1.705
2014-12-09,1.777
2014-12-08,1.766
2014-12-05,1.84
2014-12-04,1.869
2014-12-03,1.895
2014-12-02,1.901
2014-12-01,2.005
2014-11-28,2.002
2014-11-26,2.125
2014-11-25,2.138
2014-11-24,2.143
2014-11-21,2.172
2014-11-20,2.144
2014-11-19,2.148
2014-11-18,2.15
2014-11-17,2.143
2014-11-14,2.167
2014-11-13,2.116
2014-11-12,2.203
2014-11-11,2.216
2014-11-10,2.214
2014-11-07,2.232
2014-11-06,2.233
2014-11-05,2.204
2014-11-04,2.178
2014-11-03,2.218
2014-10-31,2.28
2014-10-30,2.3
2014-10-29,2.341
2014-10-28,2.304
2014-10-27,2.287
2014-10-24,2.324
2014-10-23,2.335
2014-10-22,2.297
2014-10-21,2.402
2014-10-20,2.374
2014-10-17,2.358
2014-10-16,2.337
2014-10-15,2.285
2014-10-14,2.313
2014-10-13,2.365
2014-10-10,2.376
2014-10-09,2.396
2014-10-08,2.471
2014-10-07,2.56
2014-10-06,2.614
2014-10-03,2.593
2014-10-02,2.642
2014-10-01,2.605
2014-09-30,2.692
2014-09-29,2.804
2014-09-26,2.767
2014-09-25,2.809
2014-09-24,2.795
2014-09-23,2.747
2014-09-22,2.693
2014-09-19,2.707
2014-09-18,2.675
2014-09-17,2.684
2014-09-16,2.668
2014-09-15,2.653
2014-09-12,2.636
2014-09-11,2.666
2014-09-10,2.706
2014-09-09,2.721
2014-09-08,2.726
2014-09-05,2.76
2014-09-04,2.772
2014-09-03,2.761
2014-09-02,2.698
2014-08-29,2.772
2014-08-28,2.745
2014-08-27,2.73
2014-08-26,2.762
2014-08-25,2.742
2014-08-22,2.732
2014-08-21,2.752
2014-08-20,2.706
2014-08-19,2.687
2014-08-18,2.645
2014-08-15,2.678
2014-08-14,2.645
2014-08-13,2.707
2014-08-12,2.691
2014-08-11,2.708
2014-08-08,2.698
2014-08-07,2.729
2014-08-06,2.698
2014-08-05,2.654
2014-08-04,2.66
2014-08-01,2.673
2014-07-31,2.736
2014-07-30,2.737
2014-07-29,2.773
2014-07-28,2.758
2014-07-25,2.781
2014-07-24,2.755
2014-07-23,2.778
2014-07-22,2.79
2014-07-21,2.805
2014-07-18,2.777
2014-07-17,2.777
2014-07-16,2.778
2014-07-15,2.783
2014-07-14,2.817
2014-07-11,2.79
2014-07-10,2.836
2014-07-09,2.806
2014-07-08,2.854
2014-07-07,2.857
2014-07-03,2.896
2014-07-02,2.875
2014-07-01,2.888
2014-06-30,2.888
2014-06-27,2.925
2014-06-26,2.913
2014-06-25,2.928
2014-06-24,2.954
2014-06-23,2.939
2014-06-20,2.975
2014-06-19,2.969
2014-06-18,2.95
2014-06-17,2.939
2014-06-16,2.927
2014-06-13,2.909
2014-06-12,2.943
2014-06-11,2.867
2014-06-10,2.845
2014-06-09,2.844
2014-06-06,2.81
2014-06-05,2.826
2014-06-04,2.811
2014-06-03,2.821
2014-06-02,2.829
2014-05-30,2.852
2014-05-29,2.862
2014-05-28,2.858
2014-05-27,2.839
2014-05-23,2.919
2014-05-22,2.919
2014-05-21,2.9
2014-05-20,2.874
2014-05-19,2.87
2014-05-16,2.884
2014-05-15,2.87
2014-05-14,2.883
2014-05-13,2.843
2014-05-12,2.839
2014-05-09,2.82
2014-05-08,2.827
2014-05-07,2.857
2014-05-06,2.814
2014-05-05,2.842
2014-05-02,2.892
2014-05-01,2.846
2014-04-30,2.868
2014-04-29,2.914
2014-04-28,2.894
2014-04-25,2.966
2014-04-24,2.988
2014-04-23,3.023
2014-04-22,3.015
2014-04-21,3.014
2014-04-17,2.982
2014-04-16,2.963
2014-04-15,2.976
2014-04-14,2.965
2014-04-11,2.934
2014-04-10,2.931
2014-04-09,2.917
2014-04-08,2.891
2014-04-07,2.758
2014-04-04,2.756
2014-04-03,2.729
2014-04-02,2.676
2014-04-01,2.665
2014-03-31,2.719
2014-03-28,2.701
2014-03-27,2.721
2014-03-26,2.693
2014-03-25,2.671
2014-03-24,2.709
2014-03-21,2.748
2014-03-20,2.717
2014-03-19,2.706
2014-03-18,2.729
2014-03-17,2.712
2014-03-14,2.79
2014-03-13,2.773
2014-03-12,2.796
